2026-05-19 11:22:41 | INFO     | api.access | 172.21.0.1 "GET /public/airport/lease-contract" 200 32.7ms
2026-05-19 16:25:24 | INFO     | api.access | 172.21.0.1 "GET /public/airport/lease-contract" 200 41.4ms
2026-05-19 16:25:24 | INFO     | api.access | 172.21.0.1 "GET /public/airport/lease-contract" 200 84.2ms
2026-05-19 16:25:35 | INFO     | api.access | 172.21.0.1 "GET /public/airport/transport-stats" 200 6.6ms
2026-05-19 16:30:23 | INFO     | api.access | 172.21.0.1 "GET /public/airport/lease-contract" 200 49.6ms
2026-05-19 16:30:23 | INFO     | api.access | 172.21.0.1 "GET /public/airport/lease-contract" 200 72.5ms
2026-05-19 16:30:46 | INFO     | api.access | 172.21.0.1 "GET /public/airport/lease-contract" 200 3.6ms
2026-05-19 16:30:46 | INFO     | api.access | 172.21.0.1 "GET /public/airport/lease-contract" 200 23.8ms
2026-05-19 16:31:17 | INFO     | api.access | 172.21.0.1 "GET /public/airport/airport-code" 200 7.9ms
2026-05-19 16:31:41 | INFO     | api.access | 172.21.0.1 "GET /public/airport/bus" 200 7.9ms
2026-05-19 16:32:17 | INFO     | api.access | 172.21.0.1 "GET /public/airport/taxi-wait-cju" 200 13.1ms
